Name,Category,Price,Description
Margherita Pizza,Food,10.99,"Classic Margherita pizza with tomato sauce, mozzarella cheese, and fresh basil."
Pepperoni Pizza,Food,12.99,"Pepperoni pizza with tomato sauce, mozzarella cheese, and spicy pepperoni slices."
Spaghetti Carbonara,Food,14.99,"Spaghetti pasta with creamy sauce, pancetta, egg, Parmesan cheese, and black pepper."
Caesar Salad,Food,8.99,"Crisp romaine lettuce with Caesar dressing, croutons, Parmesan cheese, and grilled chicken."
Beef Burger,Food,11.99,"Juicy beef patty with lettuce, tomato, cheese, and special sauce, served in a toasted bun."
Vegetable Stir-Fry,Food,9.99,"Assorted seasonal vegetables stir-fried with soy sauce, garlic, and ginger."
Grilled Salmon,Food,17.99,"Grilled salmon fillet with lemon butter sauce, served with steamed vegetables."
French Fries,Food,3.99,Golden and crispy French fries with a sprinkle of salt.
Chocolate Cake,Dessert,5.99,Rich chocolate cake with layers of chocolate ganache and a hint of espresso.
Cheesecake,Dessert,6.99,Creamy cheesecake with a graham cracker crust and fresh berry topping.
Apple Pie,Dessert,4.99,"Classic apple pie with a flaky crust, served with vanilla ice cream."
Espresso,Drink,2.99,Strong and rich espresso shot made with freshly ground coffee beans.
Cappuccino,Drink,3.99,Espresso coffee topped with steamed milk and a frothy milk foam.
Iced Coffee,Drink,3.49,"Chilled coffee served over ice, perfect for a hot day."
Orange Juice,Drink,2.99,"Freshly squeezed orange juice, rich in Vitamin C."
Mojito,Drink,5.99,"Refreshing mojito cocktail with mint, lime, sugar, and soda."
Chicken Wings,Appetizer,7.99,Crispy fried chicken wings tossed in spicy buffalo sauce.
Bruschetta,Appetizer,6.49,"Toasted baguette slices topped with tomatoes, garlic, basil, and olive oil."
Nachos,Appetizer,8.49,"Corn tortilla chips topped with melted cheese, jalapenos, salsa, and sour cream."
Garlic Bread,Appetizer,4.49,Toasted bread slices with garlic butter and a sprinkle of parsley.
